MENU_HINT,EVENT_NAME,Name,WIN_LOSE,age,weight,jockey,trainer,ratings,form,race_surface,race_runners,race_going,race_distance,race_class,race_ages,non_runners
Curragh 1st Jul,1m2f Grp 3,Alfred Munnings,0,3,125,R L Moore,A P OBrien,,16.0,Turf,5,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,6f Hcap,Iva Batt,0,5,121,R P Whelan,A McGuinness,74.0,842025.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,6f Grp 2,Matrika,1,2,128,R L Moore,A P OBrien,,12.0,Turf,7,Good (Good to Yielding in places),1320,1.0,2,
Curragh 1st Jul,6f Grp 2,Miss Roberts,0,2,128,B M Coen,E Walker,,24.0,Turf,7,Good (Good to Yielding in places),1320,1.0,2,
Curragh 1st Jul,2m Hcap,Coventry,0,6,119,L F Roche,G Elliott,70.0,82090.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,1m2f Grp 1,Trevaunance,0,4,136,S Foley,Mrs J Harrington,107.0,511866.0,Turf,9,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,6f Hcap,Apache Outlaw,0,3,137,C StoneWalsh,J P OBrien,96.0,135594.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,1m Mdn,Altitudeadjustment,0,3,134,L T McAteer,J Davison,,,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,1m2f Hcap,Roman Bull,0,5,127,J Gonet,Michael W OMeara,72.0,345225.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,6f Hcap,Dandyville,0,5,133,W M Lordan,N Lupini,86.0,321110.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,7f Mdn,King Of Gosford,0,2,131,G F Carroll,A Oliver,,,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,7f Mdn,Huxley,0,2,131,G M Ryan,Donnacha OBrien,,7.0,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,1m2f Grp 1,Stay Alert,0,4,136,R P Whelan,H Morrison,108.0,215105.0,Turf,9,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,2m Hcap,Ted Hastings,0,7,135,W J Lee,G Elliott,86.0,170.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,2m Hcap,Newfoundland,0,4,137,R L Moore,J P OBrien,88.0,221976.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,2m Hcap,Sheishybrid,0,5,133,Adam Caffrey,N Meade,84.0,321504.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,1m2f Hcap,Yokkell,0,4,126,Neve Bennett,J P Fahey,71.0,123232.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,6f Grp 2,Launch,0,2,128,C D Hayes,A Murray,,230.0,Turf,7,Good (Good to Yielding in places),1320,1.0,2,
Curragh 1st Jul,6f Hcap,Ice Cold In Alex,0,9,131,J A Powell,K J Condon,84.0,551024.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,6f Hcap,Navalny,0,3,119,K J Leonard,H De Bromhead,76.0,454655.0,Turf,13,Good (Good to Yielding in places),1320,,3+,"['Parting Glass', 'Midnight Fire']"
Curragh 1st Jul,1m Mdn,Expelliarmus,0,3,129,D P McDonogh,J P OBrien,,93.0,Turf,14,Good (Good to Yielding in places),1760,,3+,['Lets Avit']
Curragh 1st Jul,1m2f Hcap,Believe In Science,0,4,127,Kyanna Van Buuren,J S Bolger,72.0,45303.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,2m Hcap,Line Out,0,11,134,B M Coen,John E  Kiely,85.0,6181.0,Turf,16,Good (Good to Yielding in places),3520,,4+,['Firstman']
Curragh 1st Jul,1m2f Hcap,In From The Cold,0,6,141,S Brickley,G Elliott,86.0,647731.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,1m2f Hcap,Jungle Cove,0,6,149,Jessica OGorman,Mrs J Harrington,94.0,100024.0,Turf,15,Good (Good to Yielding in places),2200,,4+,
Curragh 1st Jul,7f Mdn,City Of Troy,1,2,131,R L Moore,A P OBrien,,,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,7f Mdn,Instant Appeal,0,2,131,S T McCullagh,Mrs J Harrington,,2.0,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,7f Mdn,Slurricane,0,2,131,C D Hayes,R OSullivan,,5.0,Turf,13,Good (Good to Yielding in places),1540,,2,
Curragh 1st Jul,1m2f Grp 1,Above The Curve,0,4,136,R L Moore,J P OBrien,113.0,113771.0,Turf,9,Good (Good to Yielding in places),2200,1.0,3+,
Curragh 1st Jul,1m2f Grp 1,Comhra,0,3,126,R P Cleary,J S Bolger,110.0,274653.0,Turf,9,Good (Good to Yielding in places),2200,1.0,3+,
