MENU_HINT,EVENT_NAME,Name,WIN_LOSE,age,weight,jockey,trainer,ratings,form,race_surface,race_runners,race_going,race_distance,race_class,race_ages,non_runners
Lingfield 1st Jul,1m4f Hcap,Mysterious Maestro,0,3,130,Harry Burns,S  E Crisford,59.0,967505.0,Polytrack,8,Standard,2640,6.0,3,
Lingfield 1st Jul,1m2f Hcap,Lost In Time,0,6,141,Jefferson Smith,D K Ivory,59.0,43480.0,Polytrack,9,Standard,2200,6.0,3+,"['Dark Gold', 'Maffeo Barberini']"
Lingfield 1st Jul,7f Hcap,Amathus,1,6,142,George Rooke,P R Chamings,65.0,748351.0,Turf,8,Good to Firm,1540,6.0,3+,
Lingfield 1st Jul,5f Hcap,Harb,0,4,138,S W Kelly,P Crate,71.0,924546.0,Turf,6,Good to Firm,1097,5.0,3+,['Regal Envoy']
Lingfield 1st Jul,7f Hcap,Essme,0,5,123,Charlie Bennett,R Cook  J Bridger,45.0,99033.0,Turf,8,Good to Firm,1540,6.0,3+,
Lingfield 1st Jul,1m2f Hcap,Handel,0,5,139,Joey Haynes,C Banham,57.0,897633.0,Polytrack,11,Standard,2200,6.0,3+,
Lingfield 1st Jul,6f Hcap,Senor Pockets,0,3,133,Kaiya Fraser,H Spiller,59.0,200364.0,Turf,8,Good to Firm,1320,6.0,3+,['Bala Hatun']
Lingfield 1st Jul,6f Hcap,Gonzaga,0,8,126,Morgan Cole,J Bennett,45.0,464766.0,Turf,8,Good to Firm,1320,6.0,3+,['Bala Hatun']
Lingfield 1st Jul,5f Hcap,Lady Jane Grey,0,3,126,George Rooke,Rae Guest,64.0,375386.0,Turf,6,Good to Firm,1097,5.0,3+,['Regal Envoy']
Lingfield 1st Jul,1m4f Hcap,Climate Precedent,0,3,134,PierreLouis Jamin,M L W Bell,63.0,452449.0,Polytrack,8,Standard,2640,6.0,3,
Lingfield 1st Jul,7f Hcap,Nibras Rainbow,0,3,132,Joey Haynes,I Mohammed,63.0,400026.0,Turf,8,Good to Firm,1540,6.0,3+,
Lingfield 1st Jul,1m4f Hcap,Ectocross,0,3,127,Paddy Bradley,S Dow,56.0,13899.0,Polytrack,8,Standard,2640,6.0,3,
Lingfield 1st Jul,1m2f Hcap,Codswallop,0,4,134,Charlie Bennett,A West,52.0,940757.0,Polytrack,11,Standard,2200,6.0,3+,
Lingfield 1st Jul,1m2f Hcap,Moosmee,0,6,128,Christian Howarth,S Dow,46.0,904990.0,Polytrack,9,Standard,2200,6.0,3+,"['Dark Gold', 'Maffeo Barberini']"
Lingfield 1st Jul,6f Hcap,Desert Illusion,0,3,135,Molly Presland,I Mohammed,61.0,70239.0,Turf,8,Good to Firm,1320,6.0,3+,['Bala Hatun']
Lingfield 1st Jul,5f Hcap,Dream By Day,0,4,136,Joey Haynes,K P De Foy,69.0,15757.0,Turf,6,Good to Firm,1097,5.0,3+,['Regal Envoy']
Lingfield 1st Jul,7f Hcap,Inverinate,0,3,131,Jefferson Smith,I Mohammed,62.0,67421.0,Turf,8,Good to Firm,1540,6.0,3+,
Lingfield 1st Jul,1m2f Hcap,Gilded Moon,0,3,130,Harry Burns,E A L Dunlop,58.0,331573.0,Polytrack,11,Standard,2200,6.0,3+,
Lingfield 1st Jul,1m4f Hcap,Papa Ricco,0,3,133,Robert Tart,S P C Woods,62.0,775134.0,Polytrack,8,Standard,2640,6.0,3,
